"Making new friends isn't easy for me","Disagree","Slightly Agree","Agree"
"I can easily recognize patterns","Disagree","Slightly Agree","Agree"
"I prefer going to the movies than to a museum","Disagree","Slightly Agree","Agree"
"I don't get upset when the way I like to do things suddenly changes","Disagree","Slightly Agree","Agree"
"I find it difficult to carry on a conversation with others","Disagree","Slightly Agree","Agree"
"When someone is talking to me, it's easy to �read between the lines� (understand their true feelings or intentions)","Disagree","Slightly Agree","Agree"
"I tend to focus more on the overall idea than the details","Disagree","Slightly Agree","Agree"
"Remembering facts, like phone numbers, isn't easy for me","Disagree","Slightly Agree","Agree"
"I find it hard to notice small changes in a person's appearance or a situation","Disagree","Slightly Agree","Agree"
"It's hard for me to read someone's body language when we're talking.","Disagree","Slightly Agree","Agree"
"I know how to multitask (do more than one thing at a time)","Disagree","Slightly Agree","Agree"
"When on the phone, I can't tell when I should be listening or talking","Disagree","Slightly Agree","Agree"
"I don't get jokes as easily as others,"Disagree","Slightly Agree","Agree"
"I can look at someone's face and know what they're thinking or feeling","Disagree","Slightly Agree","Agree"
"Interruptions don't bother me. I can quickly and easily return to what I was doing","Disagree","Slightly Agree","Agree"
"I'm good at making small talk","Disagree","Slightly Agree","Agree"
"I tend to repeat myself and go on and on about the same thing, regardless of how much it interests others","Disagree","Slightly Agree","Agree"
"When I was younger, I liked playing pretend games with my friends","Disagree","Slightly Agree","Agree"
"Collecting information about different types of things � like birds, trains, and cars � is one of my favorite things to do","Disagree","Slightly Agree","Agree"
"I take time to carefully plan my activities","Disagree","Slightly Agree","Agree"
"I like going to parties, get-togethers, and hanging out with friends","Disagree","Slightly Agree","Agree"
"I get nervous when I'm in new situations","Disagree","Slightly Agree","Agree"
"I like to meet new people","Disagree","Slightly Agree","Agree"
"I'm a good mediator (a peacemaker between people)","Disagree","Slightly Agree","Agree"
"I have a hard time remembering people's birthdays","Disagree","Slightly Agree","Agree"
